시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
경동시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,동대문구,2024,11,음료
경동시장,75.0,"소주 360ml, 1병",,1700.0,2024-11,,전통시장,동대문구,2024,11,음료
경동시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,동대문구,2024,11,음료
경동시장,79.0,사이다 1.5L 1병,,2500.0,2024-11,,전통시장,동대문구,2024,11,음료
암사종합시장,77.0,생수 500ml 1병,,480.0,2024-11,,전통시장,강동구,2024,11,음료
암사종합시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,강동구,2024,11,음료
암사종합시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,강동구,2024,11,음료
암사종합시장,79.0,사이다 1.5L 1병,,2400.0,2024-11,,전통시장,강동구,2024,11,음료
까치산시장,77.0,생수 500ml 1병,,500.0,2024-11,,전통시장,강서구,2024,11,음료
까치산시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,강서구,2024,11,음료
까치산시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,강서구,2024,11,음료
까치산시장,79.0,사이다 1.5L 1병,,3680.0,2024-11,,전통시장,강서구,2024,11,음료
청량리종합시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,동대문구,2024,11,음료
청량리종합시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,동대문구,2024,11,음료
청량리종합시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,동대문구,2024,11,음료
청량리종합시장,79.0,사이다 1.5L 1병,,2850.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리현대시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리현대시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,동대문구,2024,11,음료
답십리현대시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,464ml 21000,전통시장,동대문구,2024,11,음료
답십리현대시장,79.0,사이다 1.5L 1병,,2900.0,2024-11,,전통시장,동대문구,2024,11,음료
둔촌역전통시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,강동구,2024,11,음료
둔촌역전통시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,강동구,2024,11,음료
