Title,Price,Unit Price
롯데 미니비엔나 140g,3300,(10g당 236원)
아워홈 치킨스테이크 460g,9980,(10g당 217원)
목우촌 주부9단 살코기햄150g x 4,7980,(10g당 133원)
CJ 맥스봉치즈525g,8980,(10g당 171원)
호주산척아이롤로스300g,9900,"(100g당 3,300원)"
제주산흑돈냉동대패구이(500g),10980,"(100g당 2,196원)"
미국냉동LA갈비1.5kg,69800,"(100g당 4,653원)"
미국산냉동LA식갈비1kg,39800,"(100g당 3,980원)"
오뗄 장작 통삼겹베이컨500g,11800,(10g당 236원)
매콤직화무뼈닭발200g,7980,"(100g당 3,990원)"
[도드람한돈] 냉동등뼈(1kg),5980,(100g당 598원)
(J)무항생제 생메추리알(28),3980,"(100g당 1,579원)"
천하장사 건강하닭 448g,7980,(10g당 178원)
마니커초간단냉동닭발250g,7980,"(100g당 3,192원)"
훈제삼겹슬라이스400g,9980,(10g당 250원)
한성 콤비부어스트파티 330g,6980,(10g당 212원)
미국산초이스살치살로스300g,19800,"(100g당 6,600원)"
삼립 시티델리 함박스테이크150g,3980,(10g당 265원)
천하장사 더블링 콰트로치즈 250g,6480,(10g당 259원)
천하장사 콰트로치즈 448g,7980,(10g당 178원)
안심스테이크150g(호주산),12900,"(100g당 8,600원)"
CJ 백설 숯불갈비후랑크 120g,1680,(10g당 140원)
깐메추리알(270g),5980,"(100g당 2,215원)"
목우촌 프라임 비엔나 240g x 2,9900,(10g당 138원)
깐메추리알(500g),7980,"(100g당 1,596원)"
오뗄 오팜700g,8980,(10g당 128원)
한성 바베큐 직화구이 70g,1980,(10g당 283원)
한돈냉동대패목심(800g),19980,"(100g당 2,498원)"
산골농장 [1번]자유방목 유정란(2),780,(10g당 89원)
[THE1st한돈] 등심 잡채용(200g),7980,"(100g당 3,990원)"
CJ 더건강한베이컨90g x 2,8980,(10g당 499원)
피코크 장충동왕족발 부드러운순살족발200g,6980,(10g당 349원)
하림 용가리닭가슴살 마라맛80g,3980,(10g당 498원)
피코크 장충동왕족발 미니족발300g,6980,(10g당 233원)
롯데 의성마늘후랑크 350g,5980,(10g당 171원)
CJ백설 오리지널후랑크460g,6980,(10g당 152원)
롯데 의성마늘햄 110g x 4,8580,(10g당 195원)
삼립 시티델리 치즈함박스테이크150g,2980,(10g당 199원)
지리산흑돈냉동벽돌삼겹살(600g),17980,"(100g당 2,997원)"
CJ 더건강한닭가슴살소시지 120g,4480,(10g당 373원)
바로구이차돌박이400g,15900,"(100g당 3,975원)"
천하장사 더블링 뿌링치즈250g,6480,(10g당 259원)
천하장사 더블링 청양마요 250g,6480,(10g당 259원)
하림 토마호크치킨다리 스모크 170g,4980,(10g당 293원)
x 질러부드러운육포30g x 3,12980,"(100g당 14,422원)"
롯데 비엔나205g x 2,7980,(10g당 195원)
CJ 더건강한김밥햄140g x 2,5980,(10g당 214원)
동원스페셜비엔나260g x 2,8480,(10g당 163원)
삼립 슬라이스햄 160g x 2,5980,(10g당 187원)
CJ더건강그릴후랑크300g x 2,9980,(10g당 166원)
하림 수비드닭가슴살오리지널 100g,4480,"(100g당 4,480원)"
(J)무항생제 한돈 목심 구이용(600g),23980,"(100g당 3,997원)"
쟌슨빌 오리지널스모크 360g,9580,(10g당 266원)
(J)하림IFF무항생제안심다짐육(300g),7900,"(100g당 2,633원)"
(J)무항생제 1등급 왕란(15),7950,(100g당 779원)
국내산냉동대패등심(500g),7980,"(100g당 1,596원)"
존쿡 이탈리안 살라미200g,8980,(10g당 449원)
동원그릴리델리햄450g,6980,(10g당 155원)
훈제목심슬라이스400g,9980,(10g당 250원)
피코크 리북방 모둠순대 750g,11980,"(100g당 1,597원)"
피코크 매운불족발500g,8980,"(100g당 1,796원)"
맥스봉 오리지널 525g,8980,(10g당 171원)
쟌슨빌 베다위드체다 360g,9580,(10g당 266원)
CJ 더건강한닭가슴살소시지청양고추 120g,4480,(10g당 373원)
(균)일품국내산쇠고기육포22g,2990,"(100g당 13,591원)"
롯데 키스틱 55g,1900,(10g당 345원)
천하장사 더블링 콘&스윗치즈 250g,6480,(10g당 259원)
한우꼬리반골1kg팩,12900,"(100g당 1,290원)"
하림 수비드닭가슴살 블랙페퍼 100g,4480,"(100g당 4,480원)"
CJ 더건강한닭가슴살직화통살구이 100g,4480,(10g당 448원)
CJ 더건강한닭가슴살직화스테이크 100g,4480,(10g당 448원)
풀무원 깐메추리알 유정란 450g,9980,"(100g당 2,218원)"
CJ 스팸 클래식김밥햄 260g,5980,(10g당 230원)
CJ 건강한의성마늘햄 130g,2680,(10g당 206원)
[THE1st한돈] 삼겹살 찌개용(300g),10980,"(100g당 3,660원)"
목우촌 프라임 살코기햄300g,5980,(10g당 199원)
목우촌 주부9단로스구이500g,8980,(10g당 180원)
맥스봉직화구이꼬치바,1980,(10g당 283원)
존쿡 델리미트킬바사 270g,7480,(10g당 277원)
롯데 마늘앤뽀득프랑크140g,2980,(10g당 213원)
(J)하림IFF무항생제가슴살다짐육(300g),7900,"(100g당 2,633원)"
존쿡 하몽세라노그란레세르바 120g,14500,"(10g당 1,208원)"
목우촌주부9단후랑크500g,8980,(10g당 180원)
무항생제 1+등급 백색특란(10),5980,(100g당 997원)
(B) 미국산냉동LA갈비2kg,99000,"(100g당 5,500원)"
CJ 정말맛소시지160g x 2,3290,(10g당 103원)
롯데 키스틱 400g x 2,9480,(10g당 119원)
한성 고추장 직화구이 70g,1980,(10g당 283원)
목우촌 주부9단 치즈비엔나240g x 2,7980,(10g당 166원)
